City,State,Population
Temple city, Texas,93095
Indio city, California,93057
Erie city, Pennsylvania,92957
Redding city, California,92727
Norwalk city, Connecticut,92458
Hoover city, Alabama,92448
Hemet city, California,92368
Livonia city, Michigan,92185
Sandy city, Utah,91943
Roswell city, Georgia,91706
Kirkland city, Washington,91194
Carson city, California,91139
Manteca city, California,91059
Nashua city, New Hampshire,91003
Compton city, California,90986
Mission Viejo city, California,90624
Lawton city, Oklahoma,90245
Lehi city, Utah,90227
South Gate city, California,90070
Greenville city, North Carolina,90053
Santa Monica city, California,89922
Fort Smith city, Arkansas,89770
Trenton city, New Jersey,89620
Bryan city, Texas,89615
Champaign city, Illinois,89189
Santa Fe city, New Mexico,89167
North Port city, Florida,88934
Westminster city, California,88729
Franklin city, Tennessee,88558
Clifton city, New Jersey,88461
Newton city, Massachusetts,88415
Springdale city, Arkansas,88224
Lawrence city, Massachusetts,88172
Duluth city, Minnesota,87680
Waukegan city, Illinois,87642
Bloomington city, Minnesota,87398
Troy city, Michigan,87339
Deerfield Beach city, Florida,87325
Mission city, Texas,87292
Ogden city, Utah,87267
Melbourne city, Florida,86960
Santa Barbara city, California,86499
Citrus Heights city, California,86239
Danbury city, Connecticut,86124
Lake Forest city, California,85840
Frederick city, Maryland,85793
San Leandro city, California,85784
Sioux City city, Iowa,85727
Kennewick city, Washington,85158
Medford city, Oregon,85098
San Ramon city, California,84929
Folsom city, California,84782
Warner Robins city, Georgia,84537
South Jordan city, Utah,84528
Whittier city, California,84143
Baytown city, Texas,84067
Gastonia city, North Carolina,83942
Auburn city, Washington,83870
New Rochelle city, New York,83742
Layton city, Utah,83516
Hawthorne city, California,83364
Longview city, Texas,83236
Warwick city, Rhode Island,82999
Livermore city, California,82908
Newport Beach city, California,82637
Cranston city, Rhode Island,82635
Rancho Cordova city, California,82605
Westland city, Michigan,82574
Farmington Hills city, Michigan,82528
Daytona Beach city, Florida,82485
Largo city, Florida,82248
Auburn city, Alabama,82025
Brooklyn Park city, Minnesota,82017
Buena Park city, California,81958
Mountain View city, California,81785
Homestead city, Florida,81659
Castle Rock town, Colorado,81415
Kissimmee city, Florida,81269
Boynton Beach city, Florida,81267
Johns Creek city, Georgia,81108
Cicero town, Illinois,81004
Redwood City city, California,80996
Jonesboro city, Arkansas,80650
Perris city, California,80603
Pharr city, Texas,80410
Somerville city, Massachusetts,80407
Redmond city, Washington,80280
Leander city, Texas,80067
Pasco city, Washington,80038
Alhambra city, California,79776
Flint city, Michigan,79661
Lake Charles city, Louisiana,79633
Miami Beach city, Florida,79607
Woodbury city, Minnesota,79538
Lynchburg city, Virginia,79535
Flower Mound town, Texas,79445
Rapid City city, South Dakota,79404
Doral city, Florida,79359
Loveland city, Colorado,79352
Parma city, Ohio,78951
Bloomington city, Indiana,78840
Upland city, California,78699
Bloomington city, Illinois,78587
Mansfield city, Texas,78542
Bethlehem city, Pennsylvania,78300
Lakewood city, California,78135
Missoula city, Montana,77757
Tustin city, California,77704
Plymouth city, Minnesota,77648
Cedar Park city, Texas,77516
Napa city, California,77492
Wyoming city, Michigan,77451
Milpitas city, California,77321
Chino Hills city, California,77212
Broomfield city, Colorado,76860
Missouri City city, Texas,76773
Racine city, Wisconsin,76602
Flagstaff city, Arizona,76586
Queen Creek town, Arizona,76570
Lakeville city, Minnesota,76243
Bowling Green city, Kentucky,76212
Hammond city, Indiana,76193
Rochester Hills city, Michigan,76002
Scranton city, Pennsylvania,75805
Pittsburg city, California,75803
Schaumburg village, Illinois,75750
Southfield city, Michigan,75687
Iowa City city, Iowa,75678
Rock Hill city, South Carolina,75654
Alameda city, California,75353
Pawtucket city, Rhode Island,75321
Bellflower city, California,75122
Bismarck city, North Dakota,75092
Evanston city, Illinois,75070
Apple Valley town, California,75036
Appleton city, Wisconsin,74719
Pleasanton city, California,74653
Arlington Heights village, Illinois,74495
Ankeny city, Iowa,74458
Bolingbrook village, Illinois,74088
New Britain city, Connecticut,74080
Rogers city, Arkansas,74035
Lauderhill city, Florida,73974
Noblesville city, Indiana,73916
Blaine city, Minnesota,73774
Rocklin city, California,73472
Johnson City city, Tennessee,73337
Kalamazoo city, Michigan,73126
Lake Elsinore city, California,73028
Marysville city, Washington,72916
Jacksonville city, North Carolina,72879
Greenville city, South Carolina,72824
Gulfport city, Mississippi,72823
Redlands city, California,72556
Tamarac city, Florida,72372
Apex town, North Carolina,72225
West Des Moines city, Iowa,72205
Turlock city, California,72100
Framingham city, Massachusetts,71875
St. Charles city, Missouri,71800
Wilmington city, Delaware,71675
San Marcos city, Texas,71569
Harlingen city, Texas,71510
Maple Grove city, Minnesota,71288
Dothan city, Alabama,71258
Lafayette city, Indiana,71216
Mount Vernon city, New York,71168
Camden city, New Jersey,71100
Tulare city, California,71092
Maricopa city, Arizona,71022
St. Cloud city, Minnesota,71013
North Richland Hills city, Texas,70658
St. Joseph city, Missouri,70634
Eau Claire city, Wisconsin,70542
Eastvale city, California,70510
Waukesha city, Wisconsin,70446
Bayonne city, New Jersey,70300
Conway city, Arkansas,69580
Gaithersburg city, Maryland,69563
East Orange city, New Jersey,69556
Camarillo city, California,69514
Shawnee city, Kansas,69417
Grand Junction city, Colorado,69412
Canton city, Ohio,69197
Walnut Creek city, California,69152
Dublin city, California,69128
Portland city, Maine,69104
Passaic city, New Jersey,68903
Baldwin Park city, California,68806
Decatur city, Illinois,68670
Yuba City city, California,68666
Schenectady city, New York,68544
Ocala city, Florida,68426
Caldwell city, Idaho,68336
Jackson city, Tennessee,68264
Commerce City city, Colorado,68245
Weston city, Florida,68181
Madera city, California,68079
Idaho Falls city, Idaho,68001
Redondo Beach city, California,67749
Lodi city, California,67679
Gary city, Indiana,67652
Delray Beach city, Florida,67536
Haverhill city, Massachusetts,67415
Eagan city, Minnesota,67396
Rockville city, Maryland,67297
Alpharetta city, Georgia,67056
Albany city, Georgia,66877
Rowlett city, Texas,66813
Waterloo city, Iowa,66606
St. Cloud city, Florida,66448
Novi city, Michigan,66314
Greenwood city, Indiana,66296
Oshkosh city, Wisconsin,66184
Yorba Linda city, California,66147
Janesville city, Wisconsin,66102
Port Orange city, Florida,65966
Palo Alto city, California,65882
Davis city, California,65832
Victoria city, Texas,65800
Ames city, Iowa,65686
Union City city, California,65414
Sanford city, Florida,65394
Lorain city, Ohio,65337
Pflugerville city, Texas,65301
Cheyenne city, Wyoming,65168
Malden city, Massachusetts,65133
Brentwood city, California,65126
Sammamish city, Washington,65116
Muncie city, Indiana,65081
Skokie village, Illinois,64937
Palatine village, Illinois,64869
Burnsville city, Minnesota,64772
Huntersville town, North Carolina,64688
North Little Rock city, Arkansas,64531
Waltham city, Massachusetts,64477
Union City city, New Jersey,64462
Bellevue city, Nebraska,63922
Richland city, Washington,63757
Casa Grande city, Arizona,63743
Hendersonville city, Tennessee,63618
Utica city, New York,63607
Moore city, Oklahoma,63470
Coon Rapids city, Minnesota,63377
Kenner city, Louisiana,63333
Lynwood city, California,63234
South San Francisco city, California,63123
Hamilton city, Ohio,62997
Laguna Niguel city, California,62899
Porterville city, California,62876
Marietta city, Georgia,62769
Parker town, Colorado,62743
Bossier City city, Louisiana,62738
Kyle city, Texas,62548
Council Bluffs city, Iowa,62399
San Clemente city, California,62313
Lakewood city, Washington,62303
Millcreek city, Utah,62205
Eden Prairie city, Minnesota,62166
Chapel Hill town, North Carolina,62043
Pontiac city, Michigan,61689
Wellington village, Florida,61634
Bristol city, Connecticut,61601
Santa Cruz city, California,61501
Shoreline city, Washington,61353
Jupiter town, Florida,61291
White Plains city, New York,61288
Taylor city, Michigan,61241
Palm Beach Gardens city, Florida,61146
Woodland city, California,61123
